Accession	Virus	Strain	Segment	Originating_lab	Submitting_lab	Database
EPI370743	h1n1pdm	A/SriLanka/31/2010	ha	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI370746	h1n1pdm	A/SriLanka/32/2010	ha	Medical Research Institute	Who Collaborating Centre For Reference And Research On Influenza	GISAID
EPI420694	h1n1pdm	A/Boston/DOA46/2011	ha		Other Database Import	GISAID
EPI316901	h1n1pdm	A/Linkoping/6/2011	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI301389	h1n1pdm	A/Stockholm/9/2010	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI301392	h1n1pdm	A/Stockholm/8/2010	ha		Swedish Institute For Infectious Disease Control	GISAID
EPI387334	h1n1pdm	A/Brazil/AVS11/2011	ha		Other Database Import	GISAID
EPI588418	h1n1pdm	A/RioGrandedoSul/277/2011	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588436	h1n1pdm	A/RioGrandedoSul/549/2011	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI588429	h1n1pdm	A/RioGrandedoSul/360/2011	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI387326	h1n1pdm	A/Brazil/AVS08/2011	ha		Other Database Import	GISAID
EPI346215	h1n1pdm	A/England/114280400/2011	ha	Microbiology Services Colindale, Public Health England	Health Protection Agency	GISAID
EPI347005	h1n1pdm	A/PaisVasco/RR8716/2011	ha	Instituto De Salud Carlos Iii	Instituto De Salud Carlos Iii	GISAID
EPI529793	h1n1pdm	A/Springfield/INS3_652/2011	ha		Other Database Import	GISAID
EPI588434	h1n1pdm	A/RioGrandedoSul/529/2011	ha	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	Oswaldo Cruz Institute   Fiocruz   Laboratory Of Respiratory Viruses And Measles (lvrs)	GISAID
EPI381832	h1n1pdm	A/Norway/1404/2011	ha	Sorlandet Sykehus Hf, Dept. Of Medical Microbiology 	Norwegian Institute Of Public Health	GISAID
