Accession	Virus	Strain	Author	Publication_Title	Journal	Database
GQ868600	Dengue (denv2)	DENV_2/PR/BID_V3367/1969	?			Genbank
JX966380	Dengue (denv2)	DENV2_PR159	Khoo et al	Isolation of midgut escape mutants of two American genotype dengue 2 viruses from Aedes aegypti	Virol. J. 10 (1), 257 (2013)	Genbank
EU056811	Dengue (denv2)	IQT_1950	Vasilakis et al	Genetic and phenotypic characterization of sylvatic dengue virus type 2 strains	Virology 377 (2), 296-307 (2008)	Genbank
GQ868592	Dengue (denv2)	DENV_2/CO/BID_V3358/1986	?			Genbank
AY702040	Dengue (denv2)	I348600	Rodriguez-Roche et al	Virus evolution during a severe dengue epidemic in Cuba, 1997	Virology 334 (2), 154-159 (2005)	Genbank
GQ868590	Dengue (denv2)	DENV_2/MX/BID_V3356/1992	?			Genbank
JX966379	Dengue (denv2)	DENV2_QR94	Khoo et al	Isolation of midgut escape mutants of two American genotype dengue 2 viruses from Aedes aegypti	Virol. J. 10 (1), 257 (2013)	Genbank
FJ898449	Dengue (denv2)	DENV_2/HN/BID_V2945/1984	Henn et al	Direct Submission	Submitted (06-APR-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ868599	Dengue (denv2)	DENV_2/VE/BID_V3366/1987	Henn et al	Direct Submission	Submitted (03-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ868589	Dengue (denv2)	DENV_2/MX/BID_V3355/1983	Henn et al	Direct Submission	Submitted (03-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
GQ868588	Dengue (denv2)	DENV_2/MX/BID_V3354/1983	Henn et al	Direct Submission	Submitted (03-SEP-2009) Broad Institute of MIT and Harvard, 320 Charles Street, Cambridge, MA 02141, USA	Genbank
EU056812	Dengue (denv2)	V1328	Vasilakis et al	Genetic and phenotypic characterization of sylvatic dengue virus type 2 strains	Virology 377 (2), 296-307 (2008)	Genbank
KJ918750	Dengue (denv2)	P23085_INDI_60	Kar et al	Dengue virus type 2 isolate P23085 INDI-60 Complete Sequence	Unpublished	Genbank
HM582103	Dengue (denv2)	D2/NC/UH97/1972	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582101	Dengue (denv2)	D2/FJ/UH22/1971	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582099	Dengue (denv2)	D2/FJ/UH21/1971	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582100	Dengue (denv2)	D2/FJ/UH40/1971	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582108	Dengue (denv2)	D2/PF/UH50/1972	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582109	Dengue (denv2)	D2/PF/UH57/1971	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582102	Dengue (denv2)	D2/NC/UH37/1971	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582110	Dengue (denv2)	D2/PF/UH00/1973	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
HM582107	Dengue (denv2)	D2/AS/UH73/1972	Steel et al	Natural attenuation of dengue virus type-2 after a series of island outbreaks: a retrospective phylogenetic study of events in the South Pacific three decades ago	Virology 405 (2), 505-512 (2010)	Genbank
