strain	strain_name	date	segment	country	host
LC603641.1	Influenza C virus C/Yamagata/11/88 HE gene for hemagglutinin-esterase, partial cds	1988-12-13	HE	Japan	Homo sapiens LC603641.1
LC385859.1	Influenza C virus (C/Yamagata/15/2004) HE gene for hemagglutinin-esterase, partial cds, clone: CYP1, CYP2, CYP4	2004-XX-XX	HE		Homo sapiens LC385859.1
LC122633.1	Influenza C virus (C/Great Lakes/1167/1954) HE gene for hemagglutinin-esterase, partial cds	1954-XX-XX	HE	USA	Homo sapiens LC122633.1
LC122634.1	Influenza C virus (C/California/78) HE gene for hemagglutinin-esterase, partial cds	1978-XX-XX	HE	USA	Homo sapiens LC122634.1
LC122637.1	Influenza C virus (C/England/892/1983) HE gene for hemagglutinin-esterase, partial cds	1983-XX-XX	HE	United Kingdom	Homo sapiens LC122637.1
LC122641.1	Influenza C virus (C/Miyagi/20/2002) HE gene for hemagglutinin-esterase, partial cds	2002-03-17	HE	Japan	Homo sapiens LC122641.1
AB899775.1	Influenza C virus (C/Yamagata/7/81) HE gene for hemagglutinin-esterase, partial cds	1981-03-18	HE	Japan	Homo sapiens AB899775.1
AB899776.1	Influenza C virus (C/Yamagata/10/81) HE gene for hemagglutinin-esterase, partial cds	1981-03-18	HE	Japan	Homo sapiens AB899776.1
EU086908.1	Influenza C virus (C/Caen/BO1/2004) hemagglutinin-esterase (HE) gene, partial cds	2004-XX-XX	HE	France	EU086908.1
EU086909.1	Influenza C virus (C/Caen/JO2/2004) hemagglutinin-esterase (HE) gene, partial cds	2004-XX-XX	HE	France	EU086909.1
AB252154.1	Influenza C virus (C/Yamagata/15/2004) HE gene for hemagglutinin-esterase, partial cds	2004-XX-XX	HE	Japan	AB252154.1
AB252164.1	Influenza C virus (C/Fukuoka/2/2004) HE gene for hemagglutinin-esterase, partial cds	2004-XX-XX	HE	Japan	AB252164.1
AB219076.1	Influenza C virus (C/Miyagi/3/92) HE gene for hemagglutinin-esterase, partial cds	1992-XX-XX	HE		AB219076.1
AB219077.1	Influenza C virus (C/Miyagi/3/97) HE gene for hemagglutinin-esterase, partial cds	1997-XX-XX	HE		AB219077.1
AB219078.1	Influenza C virus (C/Miyagi/4/97) HE gene for hemagglutinin-esterase, partial cds	1997-XX-XX	HE		AB219078.1
D87392.1	Influenza C virus (C/Miyagi/2/92) HE gene for hemagglutinine esterase, partial cds	1992-XX-XX	HE		D87392.1
D87393.1	Influenza C virus (C/Miyagi/3/91) HE gene for hemagglutinine esterase, partial cds	1991-XX-XX	HE		D87393.1
D87394.1	Influenza C virus (C/Miyagi/9/91) HE gene for hemagglutinine esterase, partial cds	1991-XX-XX	HE		D87394.1
