Accession	Virus	Author	Publication_Title	Journal	Database
JX504050	NL63	Lednicky,J.A., Waltzek,T.B., McGeehan,E., Loeb,J.C., Hamilton,S.B. and Luetke,M.C.	Isolation and genetic characterization of human coronavirus NL63 in primary human renal proximal tubular epithelial cells obtained from a commercial supplier, and confirmation of its replication in two different types of human primary kidney cells	Virol. J. 10 (1), 213 (2013)	ViPR-BRC, Genbank
JQ765568	NL63	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	J. Gen. Virol. 93 (PT 11), 2387-2398 (2012)	ViPR-BRC, Genbank
JQ765573	NL63	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	J. Gen. Virol. 93 (PT 11), 2387-2398 (2012)	ViPR-BRC, Genbank
JQ900259	NL63	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	J. Gen. Virol. 93 (PT 11), 2387-2398 (2012)	ViPR-BRC, Genbank
JQ765575	NL63	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	J. Gen. Virol. 93 (PT 11), 2387-2398 (2012)	ViPR-BRC, Genbank
JQ765571	NL63	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	J. Gen. Virol. 93 (PT 11), 2387-2398 (2012)	ViPR-BRC, Genbank
JQ765572	NL63	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	J. Gen. Virol. 93 (PT 11), 2387-2398 (2012)	ViPR-BRC, Genbank
KY554969	NL63	Ogimi,C., Greninger,A.L., Waghmare,A.A., Kuypers,J.M., Shean,R.C., Xie,H., Leisenring,W.M., Stevens-Ayers,T.L., Jerome,K.R., Englund,J.A. and Boeckh,M.	Prolonged Shedding of Human Coronavirus in Hematopoietic Cell Transplant Recipients: Risk Factors and Viral Genome Evolution	J Infect Dis 216 (2), 203-209 (2017)	ViPR-BRC, Genbank
KY829118	NL63	Ogimi,C., Greninger,A.L., Waghmare,A.A., Kuypers,J.M., Shean,R.C., Xie,H., Leisenring,W.M., Stevens-Ayers,T.L., Jerome,K.R., Englund,J.A. and Boeckh,M.	Prolonged Shedding of Human Coronavirus in Hematopoietic Cell Transplant Recipients: Risk Factors and Viral Genome Evolution	J Infect Dis 216 (2), 203-209 (2017)	ViPR-BRC, Genbank
KY554971	NL63	Ogimi,C., Greninger,A.L., Waghmare,A.A., Kuypers,J.M., Shean,R.C., Xie,H., Leisenring,W.M., Stevens-Ayers,T.L., Jerome,K.R., Englund,J.A. and Boeckh,M.	Prolonged Shedding of Human Coronavirus in Hematopoietic Cell Transplant Recipients: Risk Factors and Viral Genome Evolution	J Infect Dis 216 (2), 203-209 (2017)	ViPR-BRC, Genbank
JQ765574	NL63	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	J. Gen. Virol. 93 (PT 11), 2387-2398 (2012)	ViPR-BRC, Genbank
KF530105	NL63	Town,C.D., Halpin,R.A., Ransier,A., Fedorova,N., Tsitrin,T., Stockwell,T., Amedeo,P., Appalla,L., Bishop,B., Edworthy,P., Gupta,N., Hoover,J., Katzel,D., Schobel,S., Shrivastava,S., Thovarai,V., Wang,S., Talbot,H.K., Wentworth,D.E. and Williams,J.V.	Direct Submission	Submitted (30-JUL-2013) J. Craig Venter Institute, 9704 Medical Center Drive, Rockville, MD 20850, USA	ViPR-BRC, Genbank
KT381875	NL63	Beau De Rochars,V.M., Lednicky,J., White,S., Loeb,J., Elbadry,M.A., Telisma,T., Chavannes,S., Anilis,M.G., Cella,E., Ciccozzi,M., Okech,B.A., Salemi,M. and Morris,J.G. Jr.	Isolation of Coronavirus NL63 from Blood from Children in Rural Haiti: Phylogenetic Similarities with Recent Isolates from Malaysia	Am. J. Trop. Med. Hyg. (2016) In press	ViPR-BRC, Genbank
KU521535	NL63	Beau De Rochars,V.M., Lednicky,J., White,S., Loeb,J., Elbadry,M.A., Telisma,T., Chavannes,S., Anilis,M.G., Cella,E., Ciccozzi,M., Okech,B.A., Salemi,M. and Morris,J.G. Jr.	Isolation of Coronavirus NL63 from Blood from Children in Rural Haiti: Phylogenetic Similarities with Recent Isolates from Malaysia	Am. J. Trop. Med. Hyg. (2016) In press	ViPR-BRC, Genbank
KX179500	NL63	Lednicky,J.A., Morris,J.G. Jr., Rand,K.H., White,S.K. and Loeb,J.C.	Human coronavirus NL63 from a patient in Gainesville, Florida, in 2015	Unpublished	ViPR-BRC, Genbank
JQ765567	NL63	Dominguez,S.R., Sims,G.E., Wentworth,D.E., Halpin,R.A., Robinson,C.C., Town,C.D. and Holmes,K.V.	Genomic analysis of 16 Colorado human NL63 coronaviruses identifies a new genotype, high sequence diversity in the N-terminal domain of the spike gene and evidence of recombination	J. Gen. Virol. 93 (PT 11), 2387-2398 (2012)	ViPR-BRC, Genbank
KY554967	NL63	Ogimi,C., Greninger,A.L., Waghmare,A.A., Kuypers,J.M., Shean,R.C., Xie,H., Leisenring,W.M., Stevens-Ayers,T.L., Jerome,K.R., Englund,J.A. and Boeckh,M.	Prolonged Shedding of Human Coronavirus in Hematopoietic Cell Transplant Recipients: Risk Factors and Viral Genome Evolution	J Infect Dis 216 (2), 203-209 (2017)	ViPR-BRC, Genbank
KY554968	NL63	Ogimi,C., Greninger,A.L., Waghmare,A.A., Kuypers,J.M., Shean,R.C., Xie,H., Leisenring,W.M., Stevens-Ayers,T.L., Jerome,K.R., Englund,J.A. and Boeckh,M.	Prolonged Shedding of Human Coronavirus in Hematopoietic Cell Transplant Recipients: Risk Factors and Viral Genome Evolution	J Infect Dis 216 (2), 203-209 (2017)	ViPR-BRC, Genbank
KY674915	NL63	Ogimi,C., Greninger,A.L., Waghmare,A.A., Kuypers,J.M., Shean,R.C., Xie,H., Leisenring,W.M., Stevens-Ayers,T.L., Jerome,K.R., Englund,J.A. and Boeckh,M.	Prolonged Shedding of Human Coronavirus in Hematopoietic Cell Transplant Recipients: Risk Factors and Viral Genome Evolution	J Infect Dis 216 (2), 203-209 (2017)	ViPR-BRC, Genbank
