Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Gender,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
"31631.4206","Human coronavirus OC43 PHL07-1581",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","PHL07-1581",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"AB514461",,,,,,,,1,251,38.247013,1,251,,,,1,,,,,,"nasopharyngeal aspirate",,"2007",2007,,"Philippines","Asia","Philippines: Alabang, Muntinlupa",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:27:41.626Z","2022-07-08T23:27:41.626Z"
"31631.4269","Human coronavirus OC43 GR12/06; GRE 12A/06",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","GR12/06; GRE 12A/06",,,,,,,,,,,,,,,,,,,,,"2016-07-26T00:00:00Z","17582904",,,,,,"EF394299",,,,,,,,1,419,36.99284,1,419,,,,1,,,,,,"6 month old child with bronchiolitis and co-infected with RSV",,,,,"Greece","Europe","Greece",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:37:56.109Z","2022-07-08T23:37:56.109Z"
"31631.4292","Human coronavirus OC43 10632",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","10632",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647040",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2004-02",2004,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:59.001Z","2022-07-08T23:47:59.001Z"
"31631.4293","Human coronavirus OC43 36088",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","36088",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647043",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2005-01",2005,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:58.888Z","2022-07-08T23:47:58.888Z"
"31631.4294","Human coronavirus OC43 10644",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","10644",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647041",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2004-02",2004,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:59.049Z","2022-07-08T23:47:59.049Z"
"31631.4295","Human coronavirus OC43 36149",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","36149",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647044",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2005-02",2005,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:58.985Z","2022-07-08T23:47:58.985Z"
"31631.4296","Human coronavirus OC43 36252",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","36252",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647045",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2005-02",2005,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:58.937Z","2022-07-08T23:47:58.937Z"
"31631.4297","Human coronavirus OC43 25190",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","25190",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647042",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2004-12",2004,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:59.097Z","2022-07-08T23:47:59.097Z"
"31631.4298","Human coronavirus OC43 10629",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","10629",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647039",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2004-02",2004,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:59.208Z","2022-07-08T23:47:59.208Z"
"31631.4299","Human coronavirus OC43 36405",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","36405",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647048",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2005-03",2005,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:59.255Z","2022-07-08T23:47:59.255Z"
"31631.4300","Human coronavirus OC43 36370",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","36370",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647047",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2005-03",2005,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:59.303Z","2022-07-08T23:47:59.303Z"
"31631.4301","Human coronavirus OC43 36331",,31631,"10239;2559587;2732396;2732408;2732506;76804;2499399;11118;2501931;694002;2509481;694003;31631","Viruses;Riboviria;Orthornavirae;Pisuviricota;Pisoniviricetes;Nidovirales;Cornidovirineae;Coronaviridae;Orthocoronavirinae;Betacoronavirus;Embecovirus;Betacoronavirus 1;Human coronavirus OC43","Viruses","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Betacoronavirus 1","Partial","36331",,,,,,,,,,,,,,,,,,,,,"2016-07-24T00:00:00Z",,,,,,,"FJ647046",,,,,,,,1,259,32.046333,1,259,,,,1,,,,,,,,"2005-03",2005,,"Sweden","Europe","Sweden",,"Homo sapiens","Human",,,,"Human",,,,,,"2022-07-08T23:47:59.350Z","2022-07-08T23:47:59.350Z"
